study.code,n.shifts,best.n.shifts,mean.clade.lambda,var.clade.lambda,lambda.lower.se,lambda.upper.se,mean.clade.mu,var.clade.mu,mu.lower.se,mu.upper.se,net.diver,tree.min.age,tree.max.age,gamma.stat,ntips,n.clade,prop.samp,study.id,taxon.names,rank,kingdom,orig.ntips,binary,ultrametric,usable,study.ref,gamma.corr
S2015.tr.pr,1,1,0.12942,0.00039,8.99E-02,1.69E-01,0.04171,8.00E-04,0,0.098278542,0.08771,0.122390991,56.84842668,-0.484338537,171,291,0.588,Steinetal2015,Galliformes,order,Metazoa,229,TRUE,TRUE,1,"R. Will Stein, Joseph W. Brown, Arne Ø. Mooers, A molecular genetic time scale demonstrates Cretaceous origins and multiple diversification rate shifts within the order Galliformes (Aves), Molecular Phylogenetics and Evolution, Volume 92, November 2015, Pages 155-164, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.06.005.",-0.02151023
S2016.cr.pr,1,1,0.686560573,0.083812734,1.08E-01,1.27E+00,0.596902097,0.096309706,0,1.217578199,0.089658476,0.11182,24.72780751,-2.684335886,27,315,0.086,Soaresetal2016,Columbiformes,order,Metazoa,30,TRUE,TRUE,1,"Soares, Andr_ E. R. , Ben J. Novak, James Haile, Tim H. Heupink, Jon Fjeldsë, M. Thomas P. Gilbert, Hendrik Poinar, George M. Church, Beth Shapiro. 2016. Complete mitochondrial genomes of living and extinct pigeons revise the timing of the columbiform radiation. BMC Evolutionary Biology 16: 230",-0.309960409
S2018.01.tr.pr,10,2,0.025269679,1.45E-06,2.29E-02,2.77E-02,0.001792058,1.90E-06,0,0.004548868,0.023477621,0.013824,291.3221485,-2.27711156,585,926,0.632,Steinetal2018,Elasmobranchii,subclass,Metazoa,610,TRUE,TRUE,1,"Stein, R. W., Mull, C. G., Kuhn, T. S., Aschliman, N. C., Davidson, L. N., Joy, J. B., ... & Mooers, A. O. (2018). Global priorities for conserving the evolutionary history of sharks, rays and chimaeras. Nature ecology & evolution, 1.",-0.054448937
S2018.02.tr.pr,1,1,0.03928513,0.000191113,1.16E-02,6.69E-02,0.027002547,0.000312949,0,0.062383276,0.012282583,0.6757225,187.7149495,0.711290861,25,47,0.532,Steinetal2018,Chimaeriformes,order,Metazoa,610,TRUE,TRUE,1,"Stein, R. W., Mull, C. G., Kuhn, T. S., Aschliman, N. C., Davidson, L. N., Joy, J. B., ... & Mooers, A. O. (2018). Global priorities for conserving the evolutionary history of sharks, rays and chimaeras. Nature ecology & evolution, 1.",0.085629357
SA2016.tr.pr,10,1,0.15526,0.00012,1.33E-01,1.77E-01,0.01457,0.00014,0,0.038234319,0.14069,1.204882881,38.82381047,-8.815900151,222,831,0.267,Salariatoetal2016,Brassicaceae,family,Viridiplantae,234,TRUE,TRUE,1,"Salariato DL, Zuloaga FO, Franzke A, Mummenhoff K, Al-Shehbaz IA (2016) Diversification patterns in the CES clade (Brassicaceae tribes Cremolobeae, Eudemeae, Schizopetaleae) in Andean South America. Biological Journal of the Linnean Society 181(4): 543-566. https://doi.org/10.1111/boj.12430",-0.343158448
SamplePrimates,3,2,0.3182,0.00175,2.35E-01,4.02E-01,0.19917,0.00287,0.092025238,0.306314762,0.11903,0.008617085,65.09168598,3.439207983,233,501,0.465,SamplePrimates,Primates,order,Metazoa,NA,TRUE,TRUE,1,SampleFromBAMM,0.130644708
SampleWhale.cr,4,2,0.123877913,0.000303164,8.91E-02,1.59E-01,0.029480663,0.000463139,0,0.072521992,0.09439725,0.283069997,35.85784454,-0.623389007,87,91,0.95,SampleWhale,Ballenidae,family,Metazoa,NA,TRUE,TRUE,1,SampleFromBAMM,-0.039038134
SH2012.tr,1,1,0.48023,0.01811,2.11E-01,7.49E-01,0.39901,0.02298,0.095826887,0.702193113,0.08122,0.71416686,42.22184167,1.151922735,28,176,0.159,Shedkoetal2012,Salmonidae,family,Metazoa,28,TRUE,TRUE,1,"Shedko SV, Miroshnichenko IL, Nemkova GA (2012) Phylogeny of salmonids (Salmoniformes: Salmonidae) and its molecular dating: analysis of nuclear RAG1 gene. Russian Journal of Genetics 48(5): 575-579. https://doi.org/10.1134/S1022795412050201",0.130429566
SH2015.cr,15,2,0.075688551,1.00E-05,6.94E-02,8.20E-02,0.005041067,1.44E-05,0,0.012630533,0.070647484,0.017627001,57.65164439,-10.40201089,812,1200,0.677,Shi&Rabosky2015,Chiroptera,order,Metazoa,812,TRUE,TRUE,1,"Shi, J. J. and Rabosky, D. L. (2015), Speciation dynamics during the global radiation of extant bats. Evolution, 69: 1528–1545. doi:10.1111/evo.12681",-0.211015408
SH2016.pr,1,1,0.05838,0.00014,3.47E-02,8.20E-02,0.03626,0.00021,0.007277247,0.065242753,0.02211,1.03097984,237.626631,0.093692209,92,300,0.307,Sherrattetal2016,Pectinidae,family,Metazoa,93,TRUE,TRUE,1,"Sherratt E, Alejandrino A, Kraemer AC, Serb JM, Adams DC (2016) Trends in the sand: directional evolution in the shell shape of recessing scallops (Bivalvia: Pectinidae). Evolution 70(9): 2061-2073. https://doi.org/10.1111/evo.12995",0.005701926
SO2017.pr,1,1,0.07226,2.00E-05,6.33E-02,8.12E-02,0.00468,2.00E-05,0,0.013624272,0.06758,0.003655894,100.94828,-10.13259628,247,929,0.266,Soghigianetal2017,Aedes,genus,Metazoa,260,TRUE,TRUE,1,"Soghigian, J., Andreadis, T. G., & Livdahl, T. P. (2017). From ground pools to treeholes: convergent evolution of habitat and phenotype in Aedes mosquitoes. BMC evolutionary biology, 17(1), 262.",-0.373746444
ST2017.cr,9,2,0.035289513,3.83E-06,3.14E-02,3.92E-02,0.003272995,4.85E-06,0,0.007677538,0.032016518,0.051517999,261.9999995,1.138282439,466,665,0.7,Sternetal2017,Astacoidea & Parastacoidea,superfamily,Metazoa,466,TRUE,TRUE,1,"Stern, D. B., Breinholt, J. , Pedraza_Lara, C. , López_Mejía, M. , Owen, C. L., Bracken_Grissom, H. , Fetzner, J. W. and Crandall, K. A. (2017), Phylogenetic evidence from freshwater crayfishes that cave adaptation is not an evolutionary dead_end. Evolution, 71: 2522-2532. doi:10.1111/evo.13326",0.030509172
SW2014.pr,1,1,0.05112,0.00018,2.43E-02,7.80E-02,0.01931,0.00027,0,0.052173353,0.03181,7.323074836,140.2459431,-4.090201625,59,450,0.131,Schmidt&Walter2014,Pergidae,family,Metazoa,72,TRUE,TRUE,1,"S. Schmidt, G.H. Walter, Young clades in an old family: Major evolutionary transitions and diversification of the eucalypt-feeding pergid sawflies in Australia (Insecta, Hymenoptera, Pergidae), Molecular Phylogenetics and Evolution, Volume 74, May 2014, Pages 111-121, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2014.02.002.
(http://www.sciencedirect.com/science/article/pii/S1055790314000505)",-0.312785536
T2014,1,1,0.48433,0.0747,0.00E+00,1.03E+00,0.49176,0.16671,0,1.308362719,-0.00743,1.01,4.37,-0.621538935,6,6,1,Torresetal2014,Phoenicopteridae,family,Metazoa,6,TRUE,TRUE,1,"Torres, Chris R, Lisa M Ogawa, Mark AF Gillingham, Brittney Ferrari, Marcel van Tuinen. 2014. A multi-locus inference of the evolutionary diversification of extant flamingos (Phoenicopteridae). BMC Evolutionary Biology 14 (1): 36.",-0.179422836
T2015.tr.pr,16,2,0.2495,0.00168,1.68E-01,3.31E-01,0.12101,0.00236,0.023850338,0.218169662,0.12849,0.869204989,84.95641242,-4.085923177,200,5950,0.034,Thornhilletal2015,Myrtaceae,family,Viridiplantae,202,TRUE,TRUE,1,"Andrew H. Thornhill, Simon Y.W. Ho, Carsten Külheim, Michael D. Crisp, Interpreting the modern distribution of Myrtaceae using a dated molecular phylogeny, Molecular Phylogenetics and Evolution, Volume 93, December 2015, Pages 29-43, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.07.007.",-0.167647459
T2017.cr.pr,1,1,0.12007,0.00194,3.20E-02,2.08E-01,0.06909,0.00403,0,0.196054562,0.05098,4.949478,17.86446714,-2.764137247,17,17,1,Tossoetal2017,Guibourtia,genus,Viridiplantae,42,TRUE,TRUE,1,"Félicien Tosso, Olivier J. Hardy, Jean-Louis Doucet, Kasso Daïnou, Esra Kaymak, Jérémy Migliore, Evolution in the Amphi-Atlantic tropical genus Guibourtia (Fabaceae, Detarioideae), combining NGS phylogeny and morphology, Molecular Phylogenetics and Evolution, Volume 120,2018,Pages 83-93,https://doi.org/10.1016/j.ympev.2017.11.026.",-0.412053252
T2018.tr.pr,11,2,0.16564,0.00053,1.20E-01,2.12E-01,0.05352,0.00092,0,0.114183004,0.11212,0.228652566,74.79648642,2.180701585,182,339,0.55,Toljagicetal2018,Cetartiodactyla,order,Metazoa,184,TRUE,TRUE,1,"Olja Toljagi_, Kjetil L. Voje, Michael Matschiner, Lee Hsiang Liow, Thomas F. Hansen; Millions of Years Behind: Slow Adaptation of Ruminants to Grasslands, Systematic Biology, Volume 67, Issue 1, 1 January 2018, Pages 145–157, https://doi.org/10.1093/sysbio/syx059",0.093842455
TA2015.pr,1,1,0.16991,0.00402,4.31E-02,2.97E-01,0.12723,0.00738,0,0.299043853,0.04268,0.6217873,34.40086024,1.132504076,21,26,0.808,TerraAraujoetal2015,Pradosia,genus,Viridiplantae,38,TRUE,TRUE,1,"Mário H. Terra-Araujo, Aparecida D. de Faria, Alberto Vicentini, Stephan Nylinder, Ulf Swenson, Species tree phylogeny and biogeography of the Neotropical genus Pradosia (Sapotaceae, Chrysophylloideae), Molecular Phylogenetics and Evolution, Volume 87, June 2015, Pages 1-13, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.03.007.",0.150003829
TE2016.01.tr.cr.pr,1,1,0.117556049,0.001724391,3.45E-02,2.01E-01,0.09234164,0.002536392,0,0.19306685,0.025214409,1.564012065,141.4194844,1.10289285,23,100,0.23,Testo&Sunduel2016,Anemiaceae,family,Viridiplantae,23,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.138951438
TE2016.02.tr.cr.pr,1,1,0.185267705,0.000686533,1.33E-01,2.38E-01,0.14580814,0.000942628,0.084403645,0.207212635,0.039459565,0.331695891,129.3618154,3.152285838,249,700,0.36,Testo&Sunduel2016,Aspleniaceae,family,Viridiplantae,249,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.115802114
TE2016.03.tr.cr.pr,40,4,0.328095635,0.001831483,2.43E-01,4.14E-01,0.162957188,0.002761054,0.057865723,0.268048653,0.165138447,0.017243007,83.31052304,3.407655797,197,600,0.33,Testo&Sunduel2016,Athyriaceae,family,Viridiplantae,197,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.140889227
TE2016.04.tr.cr.pr,5,2,0.201793142,0.002016245,1.12E-01,2.92E-01,0.142587756,0.003447234,0.025161456,0.260014056,0.059205386,0.156124127,59.51743308,4.722456561,138,200,0.69,Testo&Sunduel2016,Blechnaceae,family,Viridiplantae,138,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.233796438
TE2016.05.tr.cr.pr,1,1,0.241772442,0.013660825,8.01E-03,4.76E-01,0.265883626,0.023646104,0,0.573429421,-0.024111183,0.880864523,25.18191872,1.884956556,9,11,0.82,Testo&Sunduel2016,Cibotiaceae,family,Viridiplantae,9,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.411331243
TE2016.07.tr.cr.pr,1,1,0.715542863,0.013957159,4.79E-01,9.52E-01,0.690781757,0.015275475,0.443593772,0.937969742,0.024761106,0.089354316,99.38495113,6.400454351,120,600,0.2,Testo&Sunduel2016,Cyatheaceae,family,Viridiplantae,120,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.340180311
TE2016.08.tr.cr.pr,1,1,0.286511699,0.006810095,1.21E-01,4.52E-01,0.273044365,0.008800935,0.085417768,0.460670962,0.013467334,0.112218446,77.44366112,3.627297183,31,64,0.48,Testo&Sunduel2016,Cystopteridaceae,family,Viridiplantae,31,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.388887078
TE2016.09.tr.cr.pr,1,1,0.149425448,0.003777022,2.65E-02,2.72E-01,0.110244408,0.005487183,0,0.258395453,0.03918104,0.069909557,59.39320586,0.388007172,13,65,0.2,Testo&Sunduel2016,Davalliaceae,family,Viridiplantae,13,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.067543379
TE2016.10.tr.cr.pr,1,1,0.128888261,0.001438452,5.30E-02,2.05E-01,0.108494036,0.001836954,0.022774633,0.194213439,0.020394225,0.487309975,154.5923102,1.368209909,35,170,0.21,Testo&Sunduel2016,Dennstaedtiaceae,family,Viridiplantae,35,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.13751027
TE2016.11.tr.cr.pr,1,1,0.128808617,0.005191215,0.00E+00,2.73E-01,0.126082275,0.007398063,0,0.298106262,0.002726342,0.291989254,108.5440974,3.718321608,13,30,0.43,Testo&Sunduel2016,Dicksoniaceae,family,Viridiplantae,13,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.64727671
TE2016.12.tr.cr.pr,1,1,0.02130437,0.000177764,0.00E+00,4.80E-02,0.029182901,0.00050548,0,0.074148666,-0.007878531,30.1397762,76.89647616,-0.525331576,4,4,1,Testo&Sunduel2016,Diplaziopsidaceae,family,Viridiplantae,4,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",-0.214465718
TE2016.13.tr.cr.pr,1,1,0.079105127,0.001786397,0.00E+00,1.64E-01,0.091105619,0.003947652,0,0.216766305,-0.012000492,5.609288406,48.58345643,1.012064757,5,11,0.45,Testo&Sunduel2016,Dipteridaceae,family,Viridiplantae,5,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.337354919
TE2016.14.tr.cr.pr,81,3,0.318935333,0.000740395,2.65E-01,3.73E-01,0.254396187,0.001042279,0.189827495,0.318964879,0.064539147,0.015083845,139.0975242,11.45956495,742,1700,0.44,Testo&Sunduel2016,Dryopteridaceae,family,Viridiplantae,742,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.243215721
TE2016.15.tr.cr.pr,1,1,0.03007044,0.000137854,6.59E-03,5.36E-02,0.023709903,0.000262939,0,0.056140691,0.006360536,5.16215746,151.0114184,0.792903804,15,15,1,Testo&Sunduel2016,Equisetaceae,family,Viridiplantae,15,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.126966222
TE2016.16.tr.cr.pr,1,1,0.251709009,0.007488435,7.86E-02,4.25E-01,0.245862259,0.008479852,0.061690035,0.430034483,0.00584675,0.569348368,120.3929935,3.284143765,32,125,0.26,Testo&Sunduel2016,Gleicheniaceae,family,Viridiplantae,32,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.346179149
TE2016.17.tr.cr.pr,1,1,0.085537926,0.000164653,5.99E-02,1.11E-01,0.065444404,0.00022582,0.035389787,0.095499021,0.020093522,0.088224347,242.9333094,2.766540092,208,600,0.35,Testo&Sunduel2016,Hymenophyllaceae,family,Viridiplantae,208,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.111286563
TE2016.18.tr.cr.pr,1,1,0.050817726,0.000717392,0.00E+00,1.04E-01,0.052366011,0.001321875,0,0.125081209,-0.001548285,2.590216963,93.9020516,1.25494217,5,20,0.25,Testo&Sunduel2016,Hypodematiaceae,family,Viridiplantae,5,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.418314057
TE2016.19.tr.cr.pr,80,2,0.114087227,0.000576861,6.61E-02,1.62E-01,0.079221607,0.001015393,0.015491143,0.142952071,0.03486562,0.035862562,182.2622615,9.904696682,166,200,0.83,Testo&Sunduel2016,Lindsaeaceae,family,Viridiplantae,166,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.446538212
TE2016.20.tr.cr.pr,1,1,0.092813833,0.000923342,3.20E-02,1.54E-01,0.071107135,0.001542751,0,0.149662873,0.021706698,0.091013255,95.23386222,2.124720551,32,40,0.8,Testo&Sunduel2016,Lomariopsidaceae,family,Viridiplantae,32,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.223965211
TE2016.23.tr.cr.pr,1,1,0.054808451,0.000311304,1.95E-02,9.01E-02,0.029165911,0.000556132,0,0.076330813,0.02564254,4.636244107,72.71544124,-0.550979478,19,25,0.76,Testo&Sunduel2016,Lygodiaceae,family,Viridiplantae,19,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",-0.077152559
TE2016.24.tr.cr.pr,3,2,0.161475588,0.002881241,5.41E-02,2.69E-01,0.140595048,0.003692408,0.019064673,0.262125423,0.02088054,0.157349431,162.0431708,7.017418483,79,150,0.53,Testo&Sunduel2016,Marattiaceae,family,Viridiplantae,79,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.461712238
TE2016.25.tr.cr.pr,1,1,0.327723573,0.008170776,1.47E-01,5.09E-01,0.331113363,0.008953217,0.141870482,0.520356244,-0.00338979,0.136421479,127.6645823,6.542667852,46,75,0.61,Testo&Sunduel2016,Marsileaceae,family,Viridiplantae,46,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.569466142
TE2016.26.tr.cr.pr,1,1,0.017564182,0.000126674,0.00E+00,4.01E-02,0.029227393,0.000417008,0,0.07006894,-0.011663211,5.07654981,122.6464541,1.101753242,4,4,1,Testo&Sunduel2016,Matoniaceae,family,Viridiplantae,4,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.449788878
TE2016.28.tr.cr.pr,1,1,0.129478325,0.003525247,1.07E-02,2.48E-01,0.125036208,0.005450679,0,0.272693636,0.004442117,0.109458065,61.64835688,2.124736022,21,21,1,Testo&Sunduel2016,Nephrolepidaceae,family,Viridiplantae,21,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.281428161
TE2016.29.tr.cr.pr,1,1,0.250008953,0.015690207,0.00E+00,5.01E-01,0.187144911,0.023646427,0,0.494692806,0.062864042,0.809755202,14.07629916,0.238698739,4,35,0.11,Testo&Sunduel2016,Oleandraceae,family,Viridiplantae,4,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.097448352
TE2016.30.tr.cr.pr,1,1,0.025842256,0.000273358,0.00E+00,5.89E-02,0.027659338,0.000556757,0,0.074850736,-0.001817082,19.23922658,69.18108912,-1.113948711,5,5,1,Testo&Sunduel2016,Onocleaceae,family,Viridiplantae,5,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",-0.371316237
TE2016.31.tr.cr.pr,1,3,0.055617242,0.000119144,3.38E-02,7.74E-02,0.037150304,0.000173192,0.010829818,0.06347079,0.018466938,0.079182595,205.3275589,7.38499904,63,80,0.79,Testo&Sunduel2016,Ophioglossaceae,family,Viridiplantae,63,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.545914838
TE2016.32.tr.cr.pr,1,1,0.070890115,0.000740637,1.65E-02,1.25E-01,0.076691485,0.001017732,0.012887661,0.140495309,-0.005801371,1.145971896,203.7363743,3.838709361,17,20,0.85,Testo&Sunduel2016,Osmundaceae,family,Viridiplantae,17,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.572241005
TE2016.33.tr.cr.pr,1,1,0.125177769,0.003597051,5.23E-03,2.45E-01,0.124112333,0.006266212,0,0.282431151,0.001065436,1.249476732,48.53018476,1.474271149,9,15,0.6,Testo&Sunduel2016,Plagiogyriaceae,family,Viridiplantae,9,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.32171234
TE2016.34.tr.cr.pr,585,5,0.142132742,6.91E-05,1.26E-01,1.59E-01,0.032508771,0.000124931,0.010154264,0.054863278,0.109623971,0.015824165,90.96697395,1.933394521,719,1500,0.48,Testo&Sunduel2016,Polypodiaceae,family,Viridiplantae,719,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.041686965
TE2016.35.tr.cr.pr,1,1,0.08583687,0.001988297,0.00E+00,1.75E-01,0.092186966,0.003524617,0,0.210923936,-0.006350096,0.334819749,66.30712463,1.657339818,8,12,0.67,Testo&Sunduel2016,Psilotaceae,family,Viridiplantae,8,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.390638741
TE2016.36.tr.cr.pr,4125,4,0.086970775,0.000110201,6.60E-02,1.08E-01,0.033685167,0.000221037,0.003950541,0.063419793,0.053285608,0.058910266,184.5343721,8.044613657,595,950,0.63,Testo&Sunduel2016,Pteridaceae,family,Viridiplantae,595,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.190729213
TE2016.37.tr.cr.pr,1,1,0.094108175,0.003044585,0.00E+00,2.04E-01,0.147252563,0.008969563,0,0.336668117,-0.053144388,1.744369884,29.01845412,1.715865285,4,7,0.57,Testo&Sunduel2016,Rhachidosoraceae,family,Viridiplantae,4,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.700499069
TE2016.38.tr.cr.pr,1,1,0.060876726,0.001098873,0.00E+00,1.27E-01,0.045834151,0.001645598,0,0.126966093,0.015042575,25.66990561,35.27679974,-1.824649231,4,12,0.33,Testo&Sunduel2016,Saccolomataceae,family,Viridiplantae,4,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",-0.744909929
